,SiteName,SiteId,County,TWD67Lon,TWD67Lat
897,廬山,C0I010,南投縣,121.1733,24.035
898,新豐,C0D590,新竹縣,120.969,24.8724
899,昆陽,C0H990,南投縣,121.2654,24.1231
900,福山,C0A560,新北市,121.4946,24.7783
901,丹大,C1I050,南投縣,121.1328,23.7556
902,佳樂水,C0R370,屏東縣,120.8367,21.9942
903,和社,C1I070,南投縣,120.8808,23.5925
904,萬大,C1I020,南投縣,121.124,23.9816
905,紅石,C0S760,臺東縣,121.12,23.0714
906,翠峰,C1H000,南投縣,121.197,24.1112
907,牛鬥,C1U501,宜蘭縣,121.5653,24.6394
908,武界,C1I030,南投縣,121.0442,23.9147
909,翡翠,L1A790,新北市,121.5719,24.9089
910,員林,C0G650,彰化縣,120.5775,23.9483
911,鹿港,C0G640,彰化縣,120.4222,24.0769
912,十三股,L1A820,新北市,121.6414,24.9458
913,鳳凰,C0I090,南投縣,120.7792,23.7297
914,九芎根,L1A810,新北市,121.6417,24.9042
915,草嶺,C0K240,雲林縣,120.6853,23.5973
916,坪林,L1A830,新北市,121.7056,24.9386
917,竹山,C0I110,南投縣,120.6778,23.7647
918,碧湖,L1A800,新北市,121.7375,24.8944
919,太平,L1A840,新北市,121.82,24.9736
920,大肚,C0F000,臺中市,120.564,24.1547
921,西丘斯山,21D350,新竹縣,121.35,24.5833
922,溪湖,C0G660,彰化縣,120.4711,23.9518
923,鎮西堡,21D170,新竹縣,121.3,24.5667
924,大雅,C0F9X0,臺中市,120.6162,24.2171
925,嘎拉賀,21C090,桃園市,121.4,24.6333
926,下水埔,C1G690,彰化縣,120.5594,23.8178
927,溪頭,C1I101,南投縣,120.7992,23.6631
928,池端,21U110,宜蘭縣,121.4667,24.6333
929,桶頭,C1I131,南投縣,120.6456,23.6442
930,大鞍,C1I121,南投縣,120.7517,23.6803
931,巴陵,21C070,桃園市,121.3833,24.6833
932,玉峰,21D150,新竹縣,121.3,24.6667
933,神木村,C0H9A0,南投縣,120.8356,23.5345
934,草屯,C0H960,南投縣,120.6722,23.9754
935,高義,21C080,桃園市,121.35,24.7167
936,六分寮,C1H971,南投縣,120.6297,23.9268
937,霞雲,21C140,桃園市,121.35,24.8
938,芬園,C0G620,彰化縣,120.6131,24.0172
939,大坑,C0F970,臺中市,120.7141,24.1749
940,瑞岩,C1H860,南投縣,121.175,24.1256
941,富貴角,01A350,新北市,121.5364,25.29
942,中寮,C0H950,南投縣,120.7585,23.8863
943,三貂嶺,01AF90,新北市,121.8206,25.0592
944,社后橋,01AG00,新北市,121.6336,25.063
945,雙冬,C1H941,南投縣,120.7942,23.9692
946,熊空山,01AG10,新北市,121.4517,24.8753
947,長豐,C1H920,南投縣,120.8717,24.1039
948,火燒寮,01A200,新北市,121.7414,24.9828
949,清流,C1H900,南投縣,120.9547,24.0828
950,瑞芳,01A380,新北市,121.7956,25.1128
951,潮州,C0R220,屏東縣,120.532,22.5361
952,三峽,01A220,新北市,121.3478,24.9403
953,石碇,01A130,新北市,121.6494,24.9936
954,甲仙,C0V250,高雄市,120.5825,23.0817
955,碧湖,01A190,新北市,121.7372,24.8928
956,三地門,C0R150,屏東縣,120.6319,22.7117
957,竹子湖,01A420,臺北市,121.5336,25.1639
958,五堵,01B030,基隆市,121.6867,25.0808
959,尾寮山,C0R100,屏東縣,120.6758,22.8349
960,美濃,C0V310,高雄市,120.5111,22.9006
961,古亭坑,C0V370,高雄市,120.3939,22.895
962,中正橋,01A410,臺北市,121.5097,25.0214
963,達卡努瓦,C1V160,高雄市,120.6972,23.2817
964,新高口,C1I440,南投縣,120.8707,23.4805
965,坪林,01A170,新北市,121.707,24.937
966,排雲,C1V170,高雄市,120.946,23.4651
967,南天池,C1V190,高雄市,120.9036,23.2758
968,梅山,C1V200,高雄市,120.8154,23.2703
969,福山,01A430,新北市,121.4817,24.7789
970,龍泉,C1R201,屏東縣,120.5925,22.6683
971,小關山,C1V220,高雄市,120.8053,23.1558
972,沙崙,C1N001,臺南市,120.3013,22.9373
973,大豹,01A210,新北市,121.4164,24.8861
974,口社,C1R110,屏東縣,120.6372,22.7719
975,石門後池,01C400,桃園市,121.2361,24.8192
976,大津,C1V340,高雄市,120.6381,22.89
977,御油山,C1V300,高雄市,120.7069,23.0039
978,雙溪,A1AB80,臺北市,121.5612,25.1154
979,里港,C0R590,屏東縣,120.4865,22.781
980,奇岩,A1AB70,臺北市,121.4949,25.1257
981,尖山,C1V390,高雄市,120.3597,22.815
982,福德,A1AB60,臺北市,121.5207,25.1012
983,上德文,C1R120,屏東縣,120.6964,22.765
984,玉井,C0O930,臺南市,120.4525,23.1278
985,建國,A1AB50,臺北市,121.5207,25.074
986,玉成,A1AB40,臺北市,121.5743,25.054
987,曾文,C0O810,臺南市,120.4892,23.2215
988,中洲,A1AB30,臺北市,121.4665,25.1071
989,善化,C0O900,臺南市,120.2894,23.1144
990,雙園,A1AB20,臺北市,121.4821,25.0321
991,表湖,C0V150,高雄市,120.6561,23.2619
992,埤腹,A1AB10,臺北市,121.5371,24.9882
993,馬頭山,C0M410,嘉義縣,120.5736,23.3264
994,龍美,C1M390,嘉義縣,120.6458,23.4078
995,北政國中,A1AB00,臺北市,121.5693,24.9862
996,楠西,C1O920,臺南市,120.4766,23.1841
997,博嘉國小,A1AA90,臺北市,121.5671,25.004
998,市政中心,A1AA80,臺北市,121.5482,25.0407
999,關山,C1O880,臺南市,120.5858,23.175
1000,舊莊國小,A1AA70,臺北市,121.6112,25.0418
